,Unnamed: 0,n_tokens_title,n_tokens_content,n_unique_tokens,n_non_stop_words,n_non_stop_unique_tokens,num_hrefs,num_imgs,num_videos,average_token_length,weekday_is_monday,weekday_is_tuesday,weekday_is_wednesday,weekday_is_thursday,weekday_is_friday,weekday_is_saturday,weekday_is_sunday,is_weekend,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,avg_positive_polarity,max_positive_polarity,avg_negative_polarity,min_negative_polarity,title_subjectivity,title_sentiment_polarity,abs_title_sentiment_polarity
0,0,10,203,0.6847290640394089,0.6009852216748769,102,128,3,0,4.916256157635468,1,0,0,0,0,0,0,0,0.5216171454807819,0.0925619834710743,1.0,0.0,1.0,0.0,0.0925619834710745,0.0925619834710743,0.0,1.0,0.5,-0.1875,0.1875
1,1,7,239,0.6234309623430963,0.5899581589958159,114,126,3,0,5.138075313807532,1,0,0,0,0,0,0,0,0.3412457912457912,0.1489478114478114,1.0,0.0,1.0,0.0,0.1449488165558445,0.1489478114478114,0.0,1.0,0.0,0.0,0.0
2,2,7,187,0.6310160427807486,0.5989304812834224,84,126,3,0,4.86096256684492,1,0,0,0,0,0,0,0,0.7022222222222222,0.3233333333333333,1.0,0.0,1.0,0.0,0.301628500918274,0.3233333333333333,0.0,1.0,0.0,0.0,0.0
3,3,8,449,0.5211581291759465,0.5902004454342984,188,127,4,0,4.565701559020044,1,0,0,0,0,0,0,0,0.412421679197995,0.1101845522898154,1.0,0.0,1.0,0.0,0.1166727070938954,0.3233333333333333,0.0,1.0,0.0,0.0,0.0
4,4,11,281,0.5516014234875445,0.6156583629893239,123,124,3,0,4.839857651245552,1,0,0,0,0,0,0,0,0.4381222943722944,0.1906628787878787,1.0,0.0,1.0,0.0,0.1784513553742027,0.3233333333333333,0.0,1.0,0.4545454545454545,0.1363636363636363,0.1363636363636363
5,5,8,346,0.5867052023121387,0.615606936416185,157,126,5,0,4.57514450867052,1,0,0,0,0,0,0,0,0.4374086486989713,0.071184192151934,1.0,0.0,1.0,0.0,0.0891144914537461,0.3233333333333333,0.0,1.0,0.6428571428571429,0.2142857142857142,0.2142857142857142
6,6,7,181,0.6629834254143646,0.5414364640883977,80,126,3,0,4.458563535911602,1,0,0,0,0,0,0,0,0.4194516594516594,0.0767243867243867,1.0,0.0,1.0,0.0,0.1092712174643465,0.3233333333333333,0.0,1.0,0.0,0.0,0.0
7,7,10,203,0.6699507389162561,0.6009852216748769,108,125,3,0,4.458128078817734,1,0,0,0,0,0,0,0,0.5939772727272727,0.2822348484848485,1.0,0.0,1.0,0.0,0.2379064866750206,0.3233333333333333,0.0,1.0,1.0,0.5,0.5
8,8,8,90,0.7,0.4888888888888889,39,125,4,0,4.911111111111111,1,0,0,0,0,0,0,0,0.5388888888888889,0.1611111111111111,1.0,0.0,1.0,0.0,0.15419275190869,0.3233333333333333,0.0,1.0,0.125,0.0,0.0
9,9,9,204,0.6715686274509803,0.5784313725490197,102,127,4,0,5.446078431372549,1,0,0,0,0,0,0,0,0.3138888888888889,0.0518518518518518,1.0,0.0,1.0,0.0,0.0649530473578761,0.3233333333333333,0.0,1.0,0.0,0.0,0.0
10,10,8,1084,0.5193726937269373,0.5802583025830258,493,126,6,0,4.958487084870849,1,0,0,0,0,0,0,0,0.4691455080500025,0.0846213945230799,1.0,0.0,1.0,0.0,0.0944895170516011,0.3233333333333333,0.0,1.0,0.0,0.0,0.0
11,11,7,166,0.7048192771084337,0.5963855421686747,87,129,5,0,4.819277108433735,1,0,0,0,0,0,0,0,0.4498809523809524,0.1275,1.0,0.0,1.0,0.0,0.1291063620387625,0.3233333333333333,0.0,1.0,0.0,0.0,0.0
12,12,8,147,0.7687074829931972,0.6054421768707483,82,131,3,0,4.707482993197279,1,0,0,0,0,0,0,0,0.5330309901738475,0.0848639455782312,1.0,0.0,1.0,0.0,0.1027853452618556,0.3233333333333333,0.0,1.0,1.0,-1.0,1.0
13,13,8,80,0.875,0.6375,47,126,3,0,4.675,1,0,0,0,0,0,0,0,0.2533333333333333,0.0066666666666666,0.392156862745098,0.6078431372549019,0.392156862745098,0.6078431372549019,0.1240898308674992,0.3233333333333333,0.0066666666666666,0.0066666666666666,1.0,-1.0,1.0
